id,企业名称,统一社会信用代码,所在地区,主营业务,产品信息,产品类型,获批年份,受理号,数据来源,来源URL,验证状态,创建日期,备注
COM-0108,西安交通大学第一附属医院,,陕西,干细胞临床研究,,,,,卫健委备案,,待验证,2026-05-12,
COM-0109,诺和诺德（中国）制药有限公司,,,,生物素化抗CHO 宿主细胞蛋白抗体;CHO 宿主细胞蛋白捕获抗体;CHO 宿主细胞蛋白参考品,,,JTS2600082;JTS2600080;JTS2600081,CDE-受理品种信息,,待验证,2026-05-12,
COM-0110,贵州生诺生物科技有限公司,,,,SND002细胞注射液,,,CXSL2501177,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0111,赛尔生命科技（深圳）有限公司,,广东,细胞存储、细胞制备,,,,,企业信息,,待验证,2026-05-12,
COM-0112,赛斯尔擎生物技术（上海）有限公司,,,,CG105 CAR-T细胞注射液,,,CXSL2501172,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0113,辽宁医学诊疗科技研发中心有限公司,,,,LYW2402-NS-HK人源基质细胞注射液(三维工艺制备),,,CXSL2501129,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0114,重庆精准生物技术有限公司,,,,pCAR-19B细胞自体回输制剂（普基仑赛注射液）;pCAR-19B细胞自体回输制剂,,,CXSS2400075;CXSL1800021,CDE-优先审评公示;CDE-突破性治疗公示,,待验证,2026-05-12,
COM-0115,金斯瑞生物,,江苏,细胞制备、基因治疗,,,,,企业信息,,待验证,2026-05-12,
COM-0116,铂生卓越生物,,,,艾米迈托赛注射液（睿铂生）,干细胞,2025,,NMPA已获批产品,,待验证,2026-05-12,
COM-0117,长春卓谊生物股份有限公司,,,,冻干人用狂犬病疫苗（Vero细胞）,,,CXSS2300020,CDE-上市药品信息,,待验证,2026-05-12,
COM-0118,长春拓华医药有限公司,,,,人脐带间充质干细胞注射液,,,CXSL2600094,CDE-临床试验默示许可,,待验证,2026-05-12,
COM-0119,长春海基亚生物技术股份有限公司,,,,冻干人用狂犬病疫苗（人二倍体细胞）,,,CXSL2600080,CDE-临床试验默示许可,,待验证,2026-05-12,
